timeframe,feature_set,fold,feature,importance_gain,importance_split
M15,price_only,fold_2,close_ema_50_ratio,192.29038047790527,14.0
M15,price_only,fold_2,rolling_vol_50,178.06616973876953,15.0
M15,price_only,fold_2,close_sma_100_ratio,316.3799476623535,26.0
M15,price_only,fold_2,close_ema_100_ratio,175.54172039031982,14.0
M15,price_only,fold_2,rolling_vol_100,195.0302791595459,15.0
M15,price_only,fold_2,close_sma_200_ratio,289.6441717147827,23.0
M15,price_only,fold_2,close_ema_200_ratio,336.73736000061035,26.0
M15,price_only,fold_2,rolling_vol_200,260.8844289779663,23.0
M15,price_only,fold_2,roc_5,454.219931602478,33.0
M15,price_only,fold_2,roc_10,203.07485008239746,15.0
M15,price_only,fold_2,roc_20,120.48209953308105,11.0
M15,price_only,fold_2,rsi_14,161.1001787185669,14.0
M15,price_only,fold_2,true_range_pct,269.6437177658081,21.0
M15,price_only,fold_2,atr_pct_14,152.22190189361572,12.0
M15,price_only,fold_2,bb_width_pct_20,208.77220916748047,16.0
M15,price_only,fold_2,bb_position_20,188.93465042114258,15.0
M15,price_only,fold_3,minute_of_day_sin,694.2061262130737,55.0
M15,price_only,fold_3,minute_of_day_cos,1375.6267805099487,100.0
M15,price_only,fold_3,day_of_week_sin,76.59078979492188,7.0
M15,price_only,fold_3,day_of_week_cos,104.03492069244385,10.0
